Word,Rank
調子,1056
叩く,1057
挨拶,1058
納得,1059
言う通り,1060
勝負,1061
たった,1062
暗い,1063
超,1064
下がる,1065
乗せる,1066
騙す,1067
他人,1068
すら,1069
仲良く,1070
空く,1071
関わる,1072
手に入れる,1073
間違いない,1074
襲う,1075
ちょうだい,1076
ものがある,1077
証拠,1078
えう,1079
褒める,1080
面倒,1081
描く,1082
客,1083
それなら,1084
やすい,1085
実際,1086
今から,1087
我が,1088
原因,1089
傷,1090
大人しい,1091
最も,1092
後悔,1093
味,1094
立てる,1095
希望,1096
どうでもいい,1097
改めて,1098
腹,1099
迷う,1100
人,1101
妙,1102
赤い,1103
捕まる,1104
君たち,1105
申す,1106
苦手,1107
流れる,1108
おっ,1109
かわいそう,1110
死,1111
繰り返す,1112
母親,1113
撮る,1114
親父,1115
前に,1116
点,1117
もういい,1118
現実,1119
進める,1120
思い出,1121
すっかり,1122
妹,1123
あいつら,1124
余裕,1125
緊張,1126
勘違い,1127
それぞれ,1128
広い,1129
質問,1130
お前たち,1131
席,1132
耳,1133
者,1134
温かい,1135
捕まえる,1136
絵,1137
お腹,1138
もしもし,1139
ってことは,1140
偶然,1141
経験,1142
指,1143
普段,1144
壁,1145
判断,1146
頼る,1147
同士,1148
連中,1149
あの,1150
ああ,1151
ついてくる,1152
巻き込む,1153
ひる,1154
通す,1155
たつ,1156
古い,1157
悩む,1158
何なの,1159
戻ってくる,1160
間違える,1161
弾,1162
どうか,1163
とんでもない,1164
半分,1165
野郎,1166
抱く,1167
もしかしたら,1168
現在,1169
場,1170
ってな,1171
鍵,1172
雨,1173
過ぎ,1174
先ほど,1175
と共に,1176
応援,1177
動かす,1178
苦労,1179
まあまあ,1180
慌てる,1181
そん,1182
とはいえ,1183
自然,1184
かつて,1185
父親,1186
背中,1187
それにしても,1188
ぷ,1189
ドア,1190
わっ,1191
チャンス,1192
迎える,1193
まさに,1194
息子,1195
自ら,1196
す,1197
伝わる,1198
流す,1199
本日,1200
こら,1201
旅,1202
次第,1203
あり,1204
病院,1205
壊す,1206
壊れる,1207
その後,1208
気がつく,1209
今後,1210
参加,1211
相当,1212
へへ,1213
髪,1214
いかが,1215
怪しい,1216
運命,1217
感情,1218
辛い,1219
出かける,1220
みたいな,1221
立場,1222
倒す,1223
完璧,1224
だいぶ,1225
ふざける,1226
きつい,1227
言い方,1228
吸う,1229
神,1230
っす,1231
警察,1232
つ,1233
涙,1234
戻す,1235
お客さん,1236
き,1237
いよいよ,1238
通う,1239
させる,1240
上,1241
息,1242
回す,1243
刺す,1244
それと,1245
される,1246
あたり,1247
星,1248
遠慮,1249
内容,1250
あなたたち,1251
機会,1252
直す,1253
悔しい,1254
いい子,1255
受け入れる,1256
練習,1257
懐かしい,1258
抜く,1259
てめえ,1260
発見,1261
移動,1262
試す,1263
申し訳ない,1264
おはようございます,1265
激しい,1266
そうね,1267
タイプ,1268
いいか,1269
ならぬ,1270
多く,1271
再び,1272
減る,1273
月,1274
よくなる,1275
比べる,1276
ちょうどいい,1277
のみ,1278
さっきから,1279
おやすみ,1280
疑う,1281
取り戻す,1282
白い,1283
お茶,1284
荷物,1285
確かめる,1286
まとめる,1287
残り,1288
背負う,1289
得意,1290
雰囲気,1291
世,1292
最悪,1293
得る,1294
限界,1295
なんてこと,1296
至る,1297
会社,1298
世の中,1299
帰り,1300
意見,1301
ことがない,1302
遠く,1303
有名,1304
適当,1305
猫,1306
お店,1307
嫌う,1308
おっしゃる,1309
拾う,1310
無視,1311
戦い,1312
つる,1313
３日,1314
集中,1315
ありがたい,1316
べ,1317
気をつけて,1318
犬,1319
同時,1320
片付ける,1321
恐ろしい,1322
際,1323
どれだけ,1324
味方,1325
その人,1326
時期,1327
寒い,1328
さ,1329
いいこと,1330
羨ましい,1331
一切,1332
げ,1333
まっすぐ,1334
ったら,1335
努力,1336
了解,1337
飯,1338
一部,1339
薬,1340
肉,1341
明るい,1342
部分,1343
解決,1344
態度,1345
傷つける,1346
新た,1347
ということは,1348
預かる,1349
育てる,1350
ぐ,1351
もらえる,1352
めちゃくちゃ,1353
できれば,1354
殴る,1355
揃う,1356
潰す,1357
僕たち,1358
行ってくる,1359
日々,1360
思える,1361
従う,1362
しく,1363
焦る,1364
たまたま,1365
ぎ,1366
じゃあね,1367
男性,1368
抱える,1369
趣味,1370
下手,1371
夏,1372
担当,1373
酒,1374
島,1375
火,1376
追いかける,1377
大きくなる,1378
使える,1379
お世話になる,1380
この世,1381
こんなに,1382
裏切る,1383
あんなに,1384
騒ぐ,1384
成長,1386
り,1387
おめでとう,1388
つつ,1389
文句,1390
会話,1391
迫る,1392
三つ,1393
撃つ,1394
役,1395
熱,1396
限る,1397
恋,1398
重要,1399
影響,1400
こうして,1401
確実,1402
産む,1403
なぜか,1404
あ,1405
右,1406
違い,1407
だからこそ,1408
例の,1409
洗う,1410
何度も,1411
罪,1412
去る,1413
一週間,1414
ども,1415
距離,1416
肩,1417
申し訳ありません,1418
登る,1419
しまった,1420
ような気がする,1421
ちなみに,1422
おじさん,1423
午後,1424
タイミング,1425
詰まる,1426
振る,1427
ああああ,1428
それ以上,1429
ごと,1430
価値,1431
個,1432
木,1433
ああいう,1434
横,1435
握る,1436
とも,1437
語る,1438
攻撃,1439
子たち,1440
気持ちいい,1441
歌う,1442
回,1443
流れ,1444
見事,1445
一枚,1446
わかんない,1447
おっと,1448
短い,1449
ただし,1450
満足,1451
以来,1452
ひ,1453
言い出す,1454
弟,1455
組む,1456
やって来る,1457
関する,1458
得る,1459
届ける,1460
事故,1461
３年,1462
台詞,1463
お客様,1464
亡くなる,1465
低い,1466
条件,1467
内,1468
はじめ,1469
おいで,1470
計画,1471
困難,1472
今も,1473
扱い,1474
ぱ,1475
いつまでも,1476
代わる,1477
完成,1478
当てる,1479
今頃,1480
この先,1481
焼く,1482
ね,1483
そうそう,1484
腰,1485
ママ,1486
能力,1487
四人,1488
今朝,1489
人々,1490
掃除,1491
妻,1492
助け,1493
指示,1494
この辺,1495
ご存じ,1496
ばっか,1497
反対,1498
性格,1499
病気,1500
何より,1501
このまま,1502
命令,1503
作戦,1504
一旦,1505
ほる,1506
この間,1507
大学,1508
位置,1509
支える,1510
汚い,1511
通じる,1512
人物,1513
ゲーム,1514
わる,1515
勢い,1516
窓,1517
伺う,1518
線,1519
謎,1520
やり方,1521
これは,1522
もったいない,1523
方向,1524
現場,1525
示す,1526
開始,1527
だっけ,1528
呼び出す,1529
当時,1530
繋ぐ,1531
伸びる,1532
わけではない,1533
ぶり,1534
すんな,1535
いつまで,1536
注意,1537
最低,1538
広がる,1539
なければ,1540
わざと,1541
扉,1542
表情,1543
常に,1544
放つ,1545
誤解,1546
なくす,1547
わけにはいかない,1548
唯一,1549
仲,1550
時々,1551
引っ張る,1552
貴様,1553
辿り着く,1554
並ぶ,1555
ちゃう,1556
役に立つ,1557
はじめまして,1558
マシ,1559
よいしょ,1560
ガキ,1561
恋人,1562
型,1563
思いつく,1564
てか,1565
よかったら,1566
無茶,1567
終える,1568
少しでも,1569
クラス,1570
中身,1571
安い,1572
左,1573
もはや,1574
たる,1575
本来,1576
否定,1577
いずれ,1578
案内,1579
続き,1580
へと,1581
東京,1582
友人,1583
レベル,1584
テレビ,1585
代わりに,1586
必要ない,1587
きり,1588
穴,1589
人気,1590
うふふ,1591
具合,1592
感覚,1593
子供たち,1594
両親,1595
といい,1596
兄,1597
そこまで,1598
一歩,1599
狭い,1600
正解,1601
やら,1602
傷つく,1603
まとも,1604
変化,1605
歌,1606
俺ら,1607
といった,1608
少女,1609
臭い,1610
女子,1611
あたし,1612
久しぶりに,1613
なさそう,1614
いいぞ,1615
手紙,1616
何年,1617
全,1618
突っ込む,1619
たり,1620
きっかけ,1621
どく,1622
もので,1623
お疲れ,1624
か月,1625
いくつ,1626
少なくとも,1627
ば,1628
急いで,1629
溢れる,1630
黒い,1631
情けない,1632
バカにする,1633
ほぼ,1634
クソッ,1635
鳴る,1636
すれば,1637
なんだと,1638
明らか,1639
力,1640
抑える,1641
怒り,1642
安全,1643
輝く,1644
第二,1645
魂,1646
信じられない,1647
正体,1648
真実,1649
しようとする,1650
なお,1651
目立つ,1652
いつの間にか,1653
好きになる,1654
将来,1655
すまん,1656
勇気,1657
じっと,1658
予想,1659
トイレ,1660
上手,1661
困った,1662
見かける,1663
可能,1664
もうちょっと,1665
屋,1666
言い訳,1667
プレゼント,1668
男の子,1669
扱う,1670
いいや,1671
許可,1672
痛み,1673
闇,1674
だらけ,1675
誤魔化す,1676
とっくに,1677
めんどくさい,1678
神様,1679
どうかな,1680
イメージ,1681
パパ,1682
無理やり,1683
む,1684
黒,1685
外れる,1686
永遠,1687
何それ,1688
時には,1689
びっくりした,1690
のせいで,1691
白,1692
禁止,1693
わ,1694
震える,1695
真剣,1696
犯人,1697
量,1698
かも,1699
先日,1700
お兄ちゃん,1701
信用,1702
全力,1703
船,1704
願い,1705
かぶる,1706
恐れる,1707
さま,1708
育つ,1709
解放,1710
系,1711
影,1712
わし,1713
苦しむ,1714
証明,1715
いつでも,1716
第,1717
デート,1718
引っかかる,1719
映画,1720
だからって,1721
号,1722
他にも,1723
治る,1724
構わない,1725
地獄,1726
いちいち,1727
１時間,1728
間違いなく,1729
ぶつかる,1730
承知,1731
終了,1732
到着,1733
香り,1734
楽しみにする,1735
何者,1736
勘弁,1737
間もなく,1738
吐く,1739
叫ぶ,1740
なんという,1741
脱ぐ,1742
その時,1743
話しかける,1744
武器,1745
母さん,1746
ぴったり,1747
何人,1748
春,1749
隙,1750
僕ら,1751
逃がす,1752
中には,1753
たびに,1754
しまう,1755
後で,1756
舌,1757
そのとおり,1758
効果,1759
ってば,1760
声をかける,1761
子供の頃,1762
まくる,1763
付き,1764
少々,1765
問題ない,1766
ベッド,1767
心臓,1768
用事,1769
分,1770
ハァハァ,1771
様々,1772
一方,1773
秒,1774
蹴る,1775
飛び出す,1776
何の,1777
と思ったら,1778
才能,1779
少年,1780
散々,1781
食らう,1782
初,1783
一気,1784
展開,1785
訪れる,1786
ル,1787
ト,1788
捉える,1789
ほんの,1790
伸ばす,1791
買い物,1792
出て行く,1793
どうやって,1794
異常,1795
こいつら,1796
果たす,1797
わずか,1798
預ける,1799
鳥,1800
肌,1801
祈る,1802
ついでに,1803
どうしたの,1804
作業,1805
休み,1806
やる気,1807
着替える,1808
優秀,1809
呼ばれる,1810
にくい,1811
急,1812
生徒,1813
単純,1814
すまない,1815
譲る,1816
そこから,1817
からって,1818
皆様,1819
信頼,1820
派手,1821
お姉ちゃん,1822
ふさわしい,1823
疲れた,1824
キス,1825
地,1826
味わう,1827
下ろす,1828
鬼,1829
誰にも,1830
お姉さん,1831
それに,1832
押しつける,1833
泊まる,1834
昨夜,1835
生かす,1836
っていうか,1837
しつこい,1838
ふり,1839
燃える,1840
自慢,1841
何これ,1842
ものか,1843
中心,1844
森,1845
浮かぶ,1846
冷静,1847
飛ばす,1848
倍,1849
込める,1850
ずるい,1851
組,1852
す,1853
己,1854
二度と,1855
卒業,1856
変わらない,1857
対応,1858
新,1859
ショック,1860
興奮,1861
お友達,1862
提案,1863
行ってきます,1864
学ぶ,1865
渡る,1866
下げる,1867
ますます,1868
おなかすく,1869
見つめる,1870
逃げ出す,1871
道具,1872
少しずつ,1873
薄い,1874
責める,1875
辺り,1876
ずつ,1877
間,1878
行為,1879
字,1880
見られる,1881
金,1882
高校,1883
応える,1884
床,1885
ものすごい,1886
メートル,1887
自体,1888
大量,1889
結ぶ,1890
分ける,1891
よー,1892
一生懸命,1893
仕掛ける,1894
汗,1895
混乱,1896
恐怖,1897
わけがない,1898
抵抗,1899
会,1900
感動,1901
それこそ,1902
活動,1903
でした,1904
携帯,1905
気持ち悪い,1906
ほっと,1907
踏む,1908
盛り上がる,1909
記録,1910
にも,1911
ねえねえ,1912
見守る,1913
探る,1914
見に行く,1915
増やす,1916
そっくり,1917
稼ぐ,1918
気配,1919
年間,1920
そう言った,1921
遊び,1922
包む,1923
お待たせしました,1924
加減,1925
たい,1926
暴れる,1927
一発,1928
面,1929
全身,1930
授業,1931
除く,1932
騒ぎ,1933
不可能,1934
始まり,1935
おしまい,1936
決定,1937
重ねる,1938
いられる,1939
発生,1940
そうすれば,1941
きちんと,1942
駅,1943
甘える,1944
癖,1945
嬉しそう,1946
ともかく,1947
違いない,1948
目標,1949
しゃ,1950
ルール,1951
それまで,1952
告白,1953
物語,1954
よっぽど,1955
内緒,1956
爆発,1957
選択,1958
川,1959
たっぷり,1960
務める,1961
みたいです,1962
最大,1963
周囲,1964
全体,1965
居場所,1966
押さえる,1967
その間,1968
喉,1969
いいところ,1970
どころか,1971
かえる,1972
追いつく,1973
含める,1974
靴,1975
飲み込む,1976
最後まで,1977
お邪魔,1978
あくまで,1979
大勢,1980
手を出す,1981
差,1982
椅子,1983
入り口,1984
都合,1985
どうかした,1986
二日,1987
だろうか,1988
ギリギリ,1989
研究,1990
そんなに,1991
正確,1992
さっぱり,1993
条,1994
いい人,1995
平和,1996
技術,1997
勝ち,1998
放す,1999
広げる,2000
代,2001
いこう,2002
支度,2003
囲む,2004
叶える,2005
美人,2006
昼,2007
無,2008
ふう,2009
暑い,2010
こちらこそ,2011
ここに,2012
閉まる,2013
仕方,2014
落ち込む,2015
連れて行く,2016
発表,2017
いらっしゃいませ,2018
閉める,2019
出会い,2020
多少,2021
かもしれん,2022
回復,2023
そっと,2024
くう,2025
一ヶ月,2026
予感,2027
雪,2028
大げさ,2029
共に,2030
油断,2031
入り,2032
作品,2033
濡れる,2034
奥さん,2035
非常,2036
惜しい,2037
なんとかなる,2038
去年,2039
よく言う,2040
学生,2041
その場,2042
事態,2043
響く,2044
厄介,2045
映る,2046
笑い,2047
不満,2048
目覚める,2049
投げる,2050
休憩,2051
よさそう,2052
痛む,2053
解く,2054
あるいは,2055
どうしたらいい,2056
狙い,2057
歴史,2058
教室,2059
名乗る,2060
おいしそう,2061
奇跡,2062
アホ,2063
そんな風に,2064
尽くす,2065
もう一つ,2066
お風呂,2067
青い,2068
放る,2069
時点,2070
文字,2071
刺激,2072
付く,2073
机,2074
コーヒー,2075
箱,2076
なければならない,2077
彼氏,2078
やがて,2079
馬,2080
感,2081
増す,2082
光る,2083
どうしようもない,2084
登場,2085
受け止める,2086
破る,2087
いやいや,2088
衝撃,2089
立ち上がる,2090
静かに,2091
ファン,2092
あえて,2093
世間,2094
複雑,2095
役目,2096
ゴミ,2097
ぶつける,2098
調査,2099
天,2100
食べ物,2101
見逃す,2102
手に入る,2103
視線,2104
わがまま,2105
つ,2106
こんな風に,2107
ちる,2108
魔法,2109
石,2110
収まる,2111
実家,2112
大事にする,2113
お兄さん,2114
警戒,2115
盗む,2116
音楽,2117
ありえない,2118
ドキドキ,2119
の,2120
巨大,2121
もしも,2122
柔らかい,2123
パン,2124
半,2125
だんだん,2126
ちち,2127
引き受ける,2128
ゼロ,2129
精一杯,2130
にて,2131
よっしゃ,2132
波,2133
踊る,2134
それなのに,2135
虫,2136
堂々,2137
憧れる,2138
飽きる,2139
つう,2140
いつの間に,2141
埋める,2142
絡む,2143
飛び込む,2144
夢中,2145
恨む,2146
メール,2147
残念ながら,2148
口にする,2149
プロ,2150
話題,2151
崩れる,2152
はずがない,2153
そのもの,2154
悪くなる,2155
その手,2156
眺める,2157
割れる,2158
瞳,2159
反省,2160
わかりやすい,2161
付き合い,2162
データ,2163
基本,2164
負け,2165
意思,2166
ことなく,2167
思わず,2168
ある日,2169
解ける,2170
かく,2171
ちくしょう,2172
兄弟,2173
紙,2174
罠,2175
鼻,2176
景色,2177
廊下,2178
交換,2179
友,2180
赤,2181
乗り越える,2182
こっそり,2183
一気に,2184
